title,date,display date,photo url,caption,body,read more url
"Police release wanted poster, image of Dorner taken from security camera","February 8, 2013",Feb. 8,http://static.ow.ly/photos/original/1uNwk.jpg,Photo: Irvine Police Department,"Irvine Police release a wanted poster for Dorner on Friday afternoon containing images taken Jan. 28 from a surveillance camera at an Orange County hotel. Police said they were distributing the photos to give the public the best idea of how Dorner appeared in the recent past, and encouraged anyone with info about his whereabouts to call 911 immediately. (KPCC)",http://www.scpr.org/news/2013/02/08/35879/lapd-manhunt-police-scour-big-bear-mountains-for-e/
Dorner's mother owns land near location of his pickup truck ,"February 8, 2013",Feb. 8,"http://maps.googleapis.com/maps/api/staticmap?center=34.209407,-117.081535&zoom=9&size=300x300&maptype=roadmap&markers=color:blue%7C34.209407,-117.081535&sensor=false",Photo: Google Static Maps API,The AP reports that Dorner's mother owns about two acres of land some 35 miles west of where his burned pickup truck was found near Big Bear. San Bernardino County sheriff's spokeswoman Cindy Bachman says authorities are aware of the land and have visited it several times. She says there's been no sign of Dorner in the area.(AP),https://twitter.com/latams/status/300078594019966976
Neighbor of Dorner's mother says police had been in the area earlier in the week,"February 8, 2013",Feb. 8,http://a.scpr.org/i/cb46170ead70e60e43d9c9035349ee4c/54821-wide.jpg,Photo: KPCC,"Friday evening, KPCC's Erika Aguilar spoke with a neighbor of Dorner's mother, who says police have been in and out of the neighborhood, keeping an eye on the home since about Tuesday or Wednesday. Dorner came back from Las Vegas and moved back to La Palma for a couple of weeks, the neighbor said. (KPCC)",http://www.scpr.org/news/2013/02/08/35887/lapd-manhunt-search-warrant-issued-for-alleged-cop/
Officer under 24-hour protection speaks with KPCC,"February 8, 2013",Feb. 8,,,"A 29-year veteran of the LAPD speaks with KPCC's Frank Stoltze about his experience of being under 24-hour protection after he learned of being named in Dorner's manifesto. After he received the call Wednesday night, the veteran officer rushed to round up his family.  One child was at a friend’s house, another in a class. He wants as few details provided about his family and his location as possible.  He is scared. “Dorner said he wants to kill the children of the people on the manifesto,” said the officer, who adds that he appreciates the protection. (KPCC)",http://www.scpr.org/news/2013/02/08/35894/living-under-protection/
Dorner's image begins to appear on freeway billboards,"February 8, 2013",Feb. 8,http://a.scpr.org/i/cb790fbb6fd4eb5468f5e466b91cc9c8/54829-wide.jpg,Reed Saxon/AP,"A digital billboard along Santa Monica Boulevard on the west side of Los Angeles is one of several that display ""wanted"" alerts for Dorner. (KPCC)",
Search resumes in San Bernardino Mountains,"February 9, 2013",Feb. 9,,,"More than 100 officers fanned out again at daybreak in the snow-covered San Bernardino Mountains, resuming the search for Dorner. SWAT teams in camouflage scoured the mountains, aware that they could be walking into a trap set by the well-trained former Navy reservist who knows their tactics and strategies as well as they do. (AP)",http://www.scpr.org/blogs/news/2013/02/09/12489/lapd-manhunt-day-3-dorner-search-continues-he-can-/
"Weapons, gear found in wreckage of Dorner's truck","February 9, 2013",Feb. 9,http://a.scpr.org/i/31949046cf6dc6652628d806e9bc040b/54735-wide.jpg,Photo: Grant Slater/KPCC,"CBS2 reports authorities found two rifles, a handgun and cold-weather survival gear in Dorner's burned pickup truck found near Big Bear. The broadcast station cites as it source a law enforcement official working on the investigation. Meanwhile, ABC7 reports Dorner's truck had a broken axle, and the two rifles were AR-15 style weapons. (CBS2/ABC7)",http://losangeles.cbslocal.com/2013/02/09/weapons-cold-weather-survival-gear-found-inside-christopher-dorners-truck/
Land near Big Bear owned by Dorner's mother has been searched ,"February 9, 2013",Feb. 9,"http://maps.googleapis.com/maps/api/staticmap?center=34.209407,-117.081535&zoom=9&size=300x300&maptype=roadmap&markers=color:blue%7C34.209407,-117.081535&sensor=false",Photo: Google Static Maps API,"Just before 1:30 p.m. NBC4 reports that undeveloped property owned by Dorner's mother has been searched, according to the San Bernardino Sheriff's Department. (NBC4)",https://twitter.com/NBCLA/status/300352588828786688
Authorities search storage locker in Buena Park,"February 9, 2013",Feb. 9,"http://maps.googleapis.com/maps/api/staticmap?center=33.86728,-117.997627&zoom=9&size=300x300&maptype=roadmap&markers=color:blue%7C33.86728,-117.997627&sensor=false",Photo: Google Static Maps API,"ABC7 reports Dorner had a storage locker in Buena Park, and authorities searched the facility early Saturday morning. (ABC7)",http://abclocal.go.com/kabc/story?section=news/local/inland_empire&id=8986608
Funeral services scheduled for slain Riverside officer,"February 9, 2013",Feb. 9,"http://maps.googleapis.com/maps/api/staticmap?center=33.886235,-117.278194&zoom=9&size=300x300&maptype=roadmap&markers=color:blue%7C33.886235,-117.278194&sensor=false",Photo: Google Static Maps API,"The Press-Enterprise reports that a funeral is scheduled for Wednesday for the Riverside police officer that Dorner is accused of shooting and killing early Thursday. An honor guard will accompany the officer’s casket for its internment at Riverside National Cemetery, according to information on the Riverside Police Department website. Riverside Police Chief Sergio Diaz has asked that the officer’s name not be disclosed to protect his family, The Press-Enterprise reports. (The Press-Enterprise)",http://www.pe.com/local-news/topics/topics-public-safety-headlines/20130209-dorner-manhunt-officers-funeral-wednesday-in-riverside.ece
